refSeqname	GeneName	pos	.Lgr5+_FPKM	Lgr5-_FPKM
NM_001177867	Sgol2	chr1:58042183-58083121	1.82146	0.459392
NM_199007	Sgol2	chr1:58042183-58083121	1.74672	3.84839
NM_023617	Aox3	chr1:58169979-58257296	0	0
NM_025824	Bzw1	chr1:58449979-58463392	22.8484	19.4684
NM_172513	Fam126b	chr1:58579649-58643177	0.813588	1.07248
NM_172406	Trak2	chr1:58957293-59030326	8.00711	7.76913
NM_175200	Als2cr11	chr1:59107349-59151744	0	0
NM_001159948	Als2	chr1:59177778-59294075	0.0770071	0.0457889
NM_028717	Als2	chr1:59177778-59294075	4.32974	4.42972
NM_001033373	Cdk15	chr1:59313750-59409213	0	0
NM_001013771	Gm973	chr1:59573107-59691353	0	0
NM_007561	Bmpr2	chr1:59821480-59927703	25.4447	16.0522
NM_001037725	Fam117b	chr1:59969849-60042190	18.0622	7.06115
NM_139150	Carf	chr1:60133711-60207878	0.221005	0
NM_173444	Nbeal1	chr1:60237442-60391549	1.68702	2.13411
NM_030013	Cyp20a1	chr1:60400215-60444231	2.0858	0
NM_001045513	Raph1	chr1:60540028-60623609	9.9386	25.4098
NM_001077406	Nrp2	chr1:62749890-62865266	0.563692	0.291763
NM_001077407	Nrp2	chr1:62749890-62865266	0.670827	0.246448
NM_001077403	Nrp2	chr1:62749890-62865266	0.11666	0.0310373
NM_001077404	Nrp2	chr1:62749890-62865266	0.110246	0.0284251
NM_001077405	Nrp2	chr1:62749890-62865266	0.180004	0.0381399
NM_010939	Nrp2	chr1:62749890-62865266	0.18434	0.0385532
NM_001177600	Adam23	chr1:63492477-63643089	0	0
NM_011780	Adam23	chr1:63492477-63643089	0	0
NM_001081658	Dytn	chr1:63669424-63733501	0	0
NM_033563	Klf7	chr1:64082246-64167963	6.28954	0
NM_001037726	Creb1	chr1:64579377-64651122	0.0196216	0.0577724
NM_009952	Creb1	chr1:64579377-64651122	0.153132	0.187827
NM_133828	Creb1	chr1:64579377-64651122	4.03362	3.93493
NM_001097644	Ccnyl1	chr1:64737918-64772216	2.88486	3.24559
NM_001039493	Plekhm3	chr1:64835694-65003398	0.841066	2.88299
NM_011086	Pikfyve	chr1:65233258-65325270	1.31122	1.04855
NM_139270	Pth2r	chr1:65357830-65435818	0	0
NM_001039934	Mtap2	chr1:66221902-66489157	0	0
NM_008632	Mtap2	chr1:66221902-66489157	0	0
NM_175510	Unc80	chr1:66515020-66745722	0	0
NM_001122738	1110028C15Rik	chr1:66747466-66864169	1.53396	0.0184934
NM_177645	1110028C15Rik	chr1:66747466-66864169	0.232589	2.70726
NM_001113387	Myl1	chr1:66970869-66991630	0	0
NM_021285	Myl1	chr1:66970869-66991630	0	0
NM_001080809	Cps1	chr1:67169639-67277022	716.868	174.602
NM_011770	Ikzf2	chr1:69577783-69732534	0	1.98592
NM_177164	Vwc2l	chr1:70772288-70931971	0	0
NM_001005423	Mreg	chr1:72205806-72258881	8.80944	7.54481
NM_010233	Fn1	chr1:71632096-71699745	0	2.97557
NM_001045533	4-Mar	chr1:72473685-72583138	1.30662	0
NM_176980	Ankar	chr1:72689553-72747138	0	0
NM_008342	Igfbp2	chr1:72871076-72899045	0	0
NM_027884	Tns1	chr1:73956804-74171021	0.139313	3.21703
NM_001034060	Rufy4	chr1:74172114-74194804	0	0
NM_001170641	Rufy4	chr1:74172114-74194804	0	0
NM_176972	Usp37	chr1:74455957-74634602	4.66351	5.57471
NM_001014974	Ttll4	chr1:74708327-74744547	23.0893	5.08606
NM_009518	Wnt10a	chr1:74838592-74850749	0	0
NM_001039495	Ccdc108	chr1:74948653-74982173	0	0
NM_029342	Nhej1	chr1:75013919-75121800	1.42447	0
NM_001159883	Dnajb2	chr1:75232997-75242267	2.51943	0.00015017
NM_001159884	Dnajb2	chr1:75232997-75242267	1.91714	0.0189557
NM_020266	Dnajb2	chr1:75232997-75242267	0.000101442	0.0826198
NM_178055	Dnajb2	chr1:75232997-75242267	0.0914786	2.66056
NM_001159885	Dnajb2	chr1:75232997-75242267	0.0210985	1.11905
NR_037976	LOC100503248	chr1:75364784-75371590	0	0
NM_007936	Epha4	chr1:77363759-77511663	1.52092	0.798477
NM_001159520	Pax3	chr1:78097841-78193711	0	0
NM_008781	Pax3	chr1:78097841-78193711	0	0
NM_001004173	Sgpp2	chr1:78306920-78416861	47.7655	28.5838
NM_026713	Mogat1	chr1:78507634-78534748	0	0
NM_009255	Serpine2	chr1:79790895-79855240	0	0
NM_172849	9430031J16Rik	chr1:81073891-81268226	0	0
NM_029777	Rhbdd1	chr1:82313153-82441941	5.37778	3.20509
NM_007735	Col4a4	chr1:82447297-82583424	0	0
NM_007734	Col4a3	chr1:82583495-82718634	0	0.19334
NM_172430	Sphkap	chr1:83252355-83404775	0.58325	0
NM_001003948	Pid1	chr1:84032867-84281220	0.673158	5.46935
NM_152915	Dner	chr1:84366413-84692796	0.666971	0
NM_133975	Trip12	chr1:84717763-84835879	16.3767	22.2578
NM_001081746	Gm7609	chr1:85196185-85210337	0	0
NM_013673	Sp100	chr1:87546624-87606023	0	20.0202
NM_001144992	2810459M11Rik	chr1:87942437-87952031	1.5682	0.69678
NM_001144993	2810459M11Rik	chr1:87942437-87952031	3.22613	1.7428
NM_008801	Pde6d	chr1:88439589-88479076	12.8527	30.3171
NM_001172157	Dis3l2	chr1:88600378-88946672	3.42504	0.345589
NM_153530	Dis3l2	chr1:88600378-88946672	13.6858	5.29438
NM_001081082	Alpi	chr1:88994576-88998181	96.5416	1155.98
NM_146112	Gigyf2	chr1:89223572-89347385	17.9979	0.0245789
NM_001110212	Gigyf2	chr1:89223572-89347385	5.64468	23.0358
NM_019867	Ngef	chr1:89373403-89470445	0.702919	0.00909539
NM_001111314	Ngef	chr1:89373403-89470445	26.5159	6.09213
NM_001110192	Inpp5d	chr1:89516886-89617083	0.182142	0.317025
NM_001110193	Inpp5d	chr1:89516886-89617083	0.586598	0.74288
NM_010566	Inpp5d	chr1:89516886-89617083	0.17877	8.93698
NM_029846	Atg16l1	chr1:89652645-89688997	7.3404	2.395
NM_177646	Dgkd	chr1:89749861-89841064	8.86063	8.70005
NM_201641	Ugt1a10	chr1:89951985-90116577	0.000364434	9.63E-09
NM_201644	Ugt1a9	chr1:89951985-90116577	0.246573	9.59788
NM_201642	Ugt1a7c	chr1:89951985-90116577	19.0905	29.5657
NM_201410	Ugt1a6b	chr1:89951985-90116577	5.64294	0.537586
NM_145079	Ugt1a6a	chr1:89951985-90116577	7.56891	1.33512
NM_029269	Spp2	chr1:90303593-90323013	0	1.39704
NM_001037136	Agap1	chr1:91351385-91791857	0.221919	0.0791149
NM_178119	Agap1	chr1:91351385-91791857	12.4721	7.26745
NM_139152	Asb18	chr1:91849252-91911152	0	0
NM_029122	Iqca	chr1:91938706-92049976	0	0
NM_001111312	Lrrfip1	chr1:92895303-93025521	0.00934226	5.28101
NM_001033408	Rbm44	chr1:93041679-93067372	0	0
NM_001039126	Asb1	chr1:93437141-93456167	0.087362	0.137712
NM_023046	Asb1	chr1:93437141-93456167	0.129186	0.465784
NM_007855	Twist2	chr1:93698053-93744604	0	0
NM_207225	Hdac4	chr1:93829331-94044970	19.9138	8.1103
NM_172463	Sned1	chr1:95132473-95193025	1.16489	1.53251
NM_207031	Ano7	chr1:95270472-95300079	15.7664	9.97658
NM_174874	Atg4b	chr1:95651609-95686106	7.5649	6.58415
NM_008798	Pdcd1	chr1:95934881-95949130	0	0
NM_001039475	Slco6b1	chr1:98802752-98894137	0	0
NM_028942	Slco6c1	chr1:98956025-99024880	0	0
NM_013626	Pam	chr1:99717670-99992209	3.2258	6.68495
NM_001164233	Slco6d1	chr1:100317700-100405957	0	0
NM_027584	Slco6d1	chr1:100317700-100405957	0	0
NM_011800	Cdh20	chr1:106665395-106892058	0	0
NM_001160368	Rnf152	chr1:107173493-107253287	0.357369	2.27015
NM_178779	Rnf152	chr1:107173493-107253287	0.195901	0.163947
NM_013784	Pign	chr1:107417716-107560253	3.63756	0.92284
NM_029349	2310035C23Rik	chr1:107560437-107651708	0.120797	2.70627
NM_173187	2310035C23Rik	chr1:107560437-107651708	3.28276	2.19165
NM_009399	Tnfrsf11a	chr1:107677299-107744558	7.12786	5.23351
NM_133821	Phlpp1	chr1:108068445-108290822	11.7672	3.68329
NM_009741	Bcl2	chr1:108434755-108610867	2.37285	3.02741
NM_001160307	Serpinb10-ps	chr1:109425579-109445848	0	0
NM_198028	Serpinb10-ps	chr1:109425579-109445848	0	0
NM_172853	Cdh7	chr1:111880313-112035578	0	0
NM_001081386	Cdh19	chr1:112785771-112873949	0	0
NM_001077425	Cntnap5a	chr1:117581713-118477251	0	0
NM_001081276	Clasp1	chr1:120285634-120506039	0.14121	0.0190192
NM_029709	Clasp1	chr1:120285634-120506039	6.11474	0.671923
NM_177548	Clasp1	chr1:120285634-120506039	4.35862	8.73425
NM_022327	Ralb	chr1:121366881-121401359	8.98822	23.6798
NM_145506	Epb4.1l5	chr1:121441609-121545577	0.111739	0.000387672
NM_001113416	Epb4.1l5	chr1:121441609-121545577	4.65288	3.89563
NM_001081125	Gli2	chr1:120730637-120950196	0	0.211107
NM_001172074	3110009E18Rik	chr1:122017763-122084766	0	0
NM_028439	3110009E18Rik	chr1:122017763-122084766	0	0
NM_133186	Steap3	chr1:122122992-122167659	10.9309	1.11021
NM_001085409	Steap3	chr1:122122992-122167659	1.17E-05	0.0184458
NM_133748	Insig2	chr1:123200929-123229157	1.60174	6.36477
NM_178082	Insig2	chr1:123200929-123229157	0.0664139	0.023095
NM_001025156	Ccdc93	chr1:123327643-123403037	1.69934	2.70988
NM_029955	Ccdc93	chr1:123327643-123403037	2.10172	4.74188
NM_027677	Gpr39	chr1:127573572-127808791	9.05715	3.27968
NM_145100	Lypd1	chr1:127573572-127808791	0.25556	0.0313097
NM_145128	Mgat5	chr1:129101562-129379549	18.3281	12.041
NM_028135	Tmem163	chr1:129386918-129574598	0	1.69576
NM_001033041	Acmsd	chr1:129625989-129664141	0	0
NM_027678	Zranb3	chr1:129850762-129998985	2.63428	0.776604
NM_026390	Ubxn4	chr1:130140757-130175954	8.17776	9.92468
NM_177445	Dars	chr1:130260283-130313993	6.43552	6.56746
NM_172485	Thsd7b	chr1:131169880-132115855	0	0
NM_009581	Zp3r	chr1:132473282-132526183	0	0
NM_026976	Faim3	chr1:132762353-132777367	0	35.8999
NM_001081011	Srgap2	chr1:133181827-133423938	5.50214	4.14352
NM_175382	Fam72a	chr1:133424565-133436449	1.28682	0
NM_007799	Ctse	chr1:133534890-133572084	0	9.68632
NM_001145804	Nucks1	chr1:133807034-133832898	6.15985	0.181086
NM_175294	Nucks1	chr1:133807034-133832898	21.4091	12.4854
NM_172510	Mfsd4	chr1:133923197-133964639	3.46391	4.0909
NM_001114662	Mfsd4	chr1:133923197-133964639	1.72918	0.348639
NM_172516	Dstyk	chr1:134314029-134363536	1.54688	0
NM_001160316	Nfasc	chr1:134461266-134638374	0.000131918	0
NM_001160318	Nfasc	chr1:134461266-134638374	0.0638454	0
NM_001160317	Nfasc	chr1:134461266-134638374	0.0745045	0
NM_182716	Nfasc	chr1:134461266-134638374	0.0576394	0
NM_001099276	Pik3c2b	chr1:134942588-135005265	15.3757	6.76056
NM_144530	Zc3h11a	chr1:135516447-135557957	19.0716	13.7849
NM_009307	Syt2	chr1:136543257-136645994	0.527769	0
NM_001081307	Ppp1r12b	chr1:136662519-136852517	2.05518	2.1953
NM_001033409	Lgr6	chr1:136882929-137001853	0	0
NM_053106	Lmod1	chr1:137221389-137264642	0	0
NM_177642	Igfn1	chr1:137850154-137902919	0	0
NM_001159769	Nr5a2	chr1:138740160-138857025	0.157352	0.081774
NM_030676	Nr5a2	chr1:138740160-138857025	17.1306	9.64331
NM_001111316	Ptprc	chr1:139959437-140071882	0	19.1034
NM_011210	Ptprc	chr1:139959437-140071882	0	0.492499
NM_001166501	Dennd1b	chr1:140860285-141072619	0.704177	2.75062
NM_181347	Dennd1b	chr1:140860285-141072619	0.630773	2.16404
NM_133239	Crb1	chr1:141094830-141273653	0	0
NM_001081027	Kcnt2	chr1:142142833-142506838	0	0
NM_145991	Cdc73	chr1:145454628-145549814	6.2724	8.6833
NM_020025	B3galt2	chr1:145454628-145549814	0	0.628129
NM_013835	Trove2	chr1:145597920-145624181	0.420106	0.671621
NM_153171	Rgs13	chr1:145985796-146024502	0	3.05176
NM_153539	Fam5c	chr1:148342795-148749602	0	0
NM_001145807	Fam5c	chr1:148342795-148749602	0	0
NM_008869	Pla2g4a	chr1:151676751-151808414	4.27469	0
NM_001159730	Pdc	chr1:152166546-152181036	0	0
NM_024458	Pdc	chr1:152166546-152181036	0	0
NM_001110146	Prg4	chr1:152208440-152313295	0	0
NM_021400	Prg4	chr1:152208440-152313295	0	0
NM_001024720	Hmcn1	chr1:152409631-152840565	0	0.621982
NM_025819	1200016B10Rik	chr1:153214828-153275565	5.21307	14.8534
NM_022018	Fam129a	chr1:153418502-153566477	0	3.16536
NM_001039644	Edem3	chr1:153602503-153669458	3.27781	3.92904
NM_197990	1700025G04Rik	chr1:153731653-153937450	2.44599	4.39751
NM_177756	Glt25d2	chr1:154246996-154357825	0	0.424835
NM_016846	Rgl1	chr1:154364659-154472241	0.753631	11.038
NM_010877	Ncf2	chr1:154655019-154684120	2.49508	2.09297
NM_175460	Nmnat2	chr1:154802230-154966391	0	0
NM_007842	Dhx9	chr1:155302887-155334790	29.9692	11.1273
NM_009782	Cacna1e	chr1:156239648-156573050	0	0.300642
NM_021433	Stx6	chr1:157005832-157050647	6.32182	9.31838
NM_011273	Xpr1	chr1:157122786-157264574	16.724	23.3114
NM_026683	Acbd6	chr1:157405249-157534363	9.45659	1.07012
NM_001145781	Acbd6	chr1:157405249-157534363	7.54859	2.20122
NM_028250	Acbd6	chr1:157405249-157534363	1.16467	0.628278
NM_001039184	Cep350	chr1:157692093-157820385	20.7992	25.7858
NM_177838	Fam163a	chr1:157923095-158135156	0	0
NM_001134741	Tdrd5	chr1:158185425-158233479	0	0
NM_023141	Tor3a	chr1:158583747-158604470	3.7129	0.880912
NM_001159966	Ralgps2	chr1:158734296-158869757	1.45742	0.451449
NM_001159965	Ralgps2	chr1:158734296-158869757	0.381016	2.00998
NM_001159967	Ralgps2	chr1:158734296-158869757	0.00299632	1.3895
NM_001159968	Ralgps2	chr1:158734296-158869757	0.000993466	0.0844131
NM_023884	Ralgps2	chr1:158734296-158869757	0.00456842	0.265028
NR_027640	Ralgps2	chr1:158734296-158869757	0.00221906	0.0709576
NM_177644	Rasal2	chr1:159065313-159350367	1.58404	0.949973
NM_001085376	Pappa2	chr1:160641861-160887569	0.956524	0.130018
NM_011931	Rfwd2	chr1:161162456-161277711	2.00589	3.51772
NM_001162896	4930523C07Rik	chr1:161974510-162008717	3.92316	2.22872
NM_009786	Cacybp	chr1:162132497-162143023	14.6029	25.3208
NM_001038621	Rabgap1l	chr1:162149304-162723069	2.9819	4.97573
NR_038031	4930562F07Rik	chr1:161974510-162008717	0.126809	6.84484
NR_038030	4930562F07Rik	chr1:161974510-162008717	0.156774	0.0084673
NM_080844	Serpinc1	chr1:162908736-162933145	0	0
NM_001039482	Klhl20	chr1:163018508-163061610	3.43695	6.4591
NM_001038619	Dnm3	chr1:163917432-164408165	0	0.132665
NM_172646	Dnm3	chr1:163917432-164408165	0	0.394817
NM_008030	Fmo3	chr1:164883930-164914622	0	0
NM_010629	Kifap3	chr1:165709809-165847231	1.20606	0
NM_138314	Nme7	chr1:166237805-166388486	4.7395	1.12701
NM_011347	Selp	chr1:166045394-166150405	0	0
NM_145512	Sft2d2	chr1:167104471-167124564	21.2028	22.2626
NM_001081126	Gpr161	chr1:167225896-167251982	0	0.520395
NM_028759	Dcaf6	chr1:167259631-167390594	3.6706	3.63756
NM_011137	Pou2f1	chr1:167805604-167932765	7.50998	2.26748
NM_198932	Pou2f1	chr1:167805604-167932765	7.88504	2.20699
NM_001033344	Dusp27	chr1:168028278-168058029	0	0
NM_001160049	Dusp27	chr1:168028278-168058029	0	0
NM_175296	Mael	chr1:168131515-168168875	0	0
NM_001164306	Gm4846	chr1:168413743-168427719	0	0
NM_001160261	Fam78b	chr1:168931547-169021433	0	0.764039
NM_001160262	Fam78b	chr1:168931547-169021433	0	0.0236132
NM_175461	Fam78b	chr1:168931547-169021433	0	0.708587
NM_030724	Uck2	chr1:169156216-169215258	159.472	34.751
NM_033652	Lmx1a	chr1:169619688-169778864	1.26223	0
NM_008783	Pbx1	chr1:170049494-170362389	0.718545	0.00257218
NM_183355	Pbx1	chr1:170049494-170362389	15.0468	7.0046
NM_023284	Nuf2	chr1:171428064-171461595	5.9326	0.508494
NM_133806	Uap1	chr1:172072133-172105077	9.35863	4.10883
NM_001198955	Gm7694	chr1:172228323-172236463	7.71055	4.83052
NM_001109985	Nos1ap	chr1:172247626-172519980	2.07426	0.471393
NM_027528	Nos1ap	chr1:172247626-172519980	0.918506	2.35728
NM_001081304	Atf6	chr1:172634587-172797902	9.23512	8.18337
NM_009803	Nr1i3	chr1:173144100-173152645	1.14834	3.81218
NM_011070	Pfdn2	chr1:173275829-173288301	7.55197	13.6431
NM_013489	Cd84	chr1:173769827-173820849	0	1.92978
NM_027972	Ccdc19	chr1:174451260-174476001	0	0
NM_001013779	Aim2	chr1:175350734-175396167	0	2.63568
NM_008327	Ifi202b	chr1:175892699-175912975	0	0
NM_011940	Ifi202b	chr1:175892699-175912975	0	0
NM_207158	Olfr427	chr1:176029590-176030538	0	0
NM_019445	Fmn2	chr1:176431955-176752860	0.963085	0
NM_011825	Grem2	chr1:176763915-176851950	0	0.451991
NM_010098	Opn3	chr1:177592558-177622721	2.22754	2.77649
NM_029453	Wdr64	chr1:177628723-177745864	0	0
